"","X","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low","Physics_Mode","StartDate","Duration_sec","c1","c2","c3","gender","gender_other","ethnicity","ethnicity_other","grade","pre_ECT1","pre_ECT2","pre_POT1","pre_POT2","pre_N1L1","pre_N1L2","pre_N2L1","pre_N2L2","pre_N3L1","pre_N3L2","pre_POM1","pre_POM2","pre_ECD1","pre_ECD2","pre_Eqil1","pre_Eqil2","pre_COM1","pre_COM2","Post_StartDate","Post_Duration..in.seconds","post_ECT1","post_ECT2","post_POT1","post_POT2","post_N1L1","post_N1L2","post_N2L1","post_N2L2","post_N3L1","post_N3L2","post_POM1","post_POM2","post_ECD1","post_ECD2","post_Eqil1","post_Eqil2","post_COM1","post_COM2","preScore","postScore","Cond","filter_.","Gain","gender_bg","WE_watched","Game_Q1","R_Game_Q2","R_Game_Q3","Game_Q4","Game_Q5","Game_Q6","Game_Q7","Game_Q8","Game_Q9","Game_Q10","LS_Q1","LS_Q2","R_LS_Q3","LS_Q4","R_LS_Q5","R_LS_Q6","Game_Satis_Score","LS_Satis_Score","Game_Q2","Game_Q3","LS_Q3","LS_Q5","LS_Q6","LS_Satis_S","Game_Satis_S","pre_NFM","pre_Energy","pre_Moemntum","pre_Torque","post_NFM","post_Energy","post_Momentum","post_Torque","log_phys_anim_freq","ALL_LSs","physicLSduration","perceived_competency","Game_enjoyment","solutionLSduration","score","AllLSduration","PropToolLS","PropPhysLS","PropSoluLS","LScond","NumberAttempts_sum","NumberAttempts_mean","condition","physAnimFreq","physAnimDuration","weFreq","weDuration","hintFreq","hintDuration","toolsFreq","toolsDuration","glossaryFreq","glossaryDuration","defFreq","defDuration","formFreq","formDuration","hvFreq","hvDuration","levelVisited","levelCompleted","silver","gold","avgAttempts","avgDuration","PhysVideosUse","PhysVideosUse3Levels","enjoy_playagain","ethWBH","NFLprepost","NSLprepost","NTLprepost","ECTprepost","POTprepost","POMprepost","Eqilprepost","ECDprepost","COMprepost","prepostNFM","prepostEnergy","prepostMomentum","prepostTorque"
"S093c1",56,"adaptive","093c1","Through the Cracks","2019-05-24 10:59:56",-0.1065,-0.2929,0.0895,-0.037,-0.1228,-0.9674,-0.9674,-0.9674,-0.0035,0.1927,0.9674,-0.9674,-0.0049,0.9674,0.029,0.8318,0.1391,"M","5/10/19 14:20",442,1,0,0,"Girl",0,"White",0,"10th",0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,"5/24/19 11:01",411,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,13,10,"Adaptive","Selected",-3,"Girl","WE",4,3,4,4,4,4,4,4,4,5,5,4,4,4,3,5,40,25,3,2,2,3,1,4.16666666666667,4,5,2,3,3,4,4,1,1,1.07918124604762,46,361,8,20,243726,1070,244087,0,0.00147898085518688,0.998521019144813,"3",489,3.21710526315789,"Adaptive",9,0,7,95.4430004444121,11,28.0190000534058,0,0,4,6.09200000762939,7,185.61899971962,6,7.40500020980835,4,23.48,56,49,23,32,2.99115044247788,43.3179018017857,1,2,4,"White",1,4,4,3,3,1,1,3,3,9,6,4,4
"S095c1",57,"adaptive","095c1","Spring","2019-05-24 10:31:47",-0.801,-0.8945,-0.303,-0.8331,-0.9073,-0.9674,-0.9674,-0.9674,-0.9259,0.6039,1.0783e-07,-0.9674,-0.5288,0.4371,0.0013,0.1695,0.8292,"L","5/10/19 14:20",523,1,0,0,"Girl",0,"White",0,"10th",1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,"5/24/19 11:01",471,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,9,10,"Adaptive","Selected",1,"Girl","No WE",4,3,2,4,2,4,4,4,3,3,1,4,4,4,2,2,33,17,3,4,2,4,4,2.83333333333333,3.3,4,2,1,2,2,3,2,3,NA,5,0,6,15,20201,780,28953,0.302283010396159,0,0.697716989603841,"3",404,4.29787234042553,"Adaptive",8,0,0,0,0,0,1,8.75200009346008,0,0,0,0,0,0,0,0,57,48,26,24,4.24418604651163,95.9511666720238,1,2,3.5,"White",1,3,2,3,4,2,1,2,1,6,5,3,5
"S096c1",58,"adaptive","096c1","Collision","2019-05-20 14:16:04",-0.864,-0.9341,-0.4614,-0.8709,-0.9632,-0.9674,-0.9674,-0.9674,-0.4591,0.0072,4e-04,-0.9672,-0.9511,-0.059,2e-04,0.1064,0.8934,"L","5/10/19 14:12",1275,1,0,0,"Girl",0,"Hispanic",0,"10th",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,"5/20/19 14:25",416,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,12,11,"Adaptive","Selected",-1,"Girl","WE",5,5,5,4,4,4,4,4,5,4,4,4,2,4,2,5,44,21,1,1,4,4,1,3.5,4.4,5,2,3,2,3,3,4,1,0.301029995663981,7,0,8,24,55860,520,55860,0,0,1,"3",216,3.22388059701493,"Adaptive",2,0,3,42.4059998550415,4,10.154000043869,0,0,0,0,0,0,0,0,0,0,32,32,14,19,3.25373134328358,77.4750149173134,1,1,5,"Hispanic",2,3,3,4,3,4,0,1,3,8,5,7,3
"S097c1",59,"adaptive","097c1","Kind Cloud","2019-05-20 14:25:12",-0.2445,-0.4375,0.3168,-0.0999,-0.5394,-0.9674,-0.9674,-0.9674,0.2207,0.9662,0.9674,-0.9674,-0.8484,0.9674,0.0294,0.6884,0.2822,"M","5/10/19 14:11",1245,1,0,0,"Boy",0,"26",0,"10th",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 14:25",521,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,15,15,"Adaptive","Selected",0,"Boy","No WE",4,4,3,4,3,4,4,4,3,3,4,4,3,3,1,3,36,18,2,3,3,5,3,3,3.6,6,3,4,2,6,4,4,1,NA,10,238,7,17,14479,900,14717,0,0.0161717741387511,0.983828225861249,"3",261,2.96590909090909,"Adaptive",12,0,1,1.11,9,12.8289997577667,0,0,0,0,0,0,0,0,0,0,63,62,41,25,3.01136363636364,90.8939999968182,1,2,3.5,NA,4,4,4,3,3,4,0,4,4,12,7,8,3
"S098c1",60,"adaptive","098c1","St. Patrick's Day","2019-05-24 11:00:43",-0.5891,-0.7597,-0.4396,-0.2619,-0.7886,-0.9674,-0.9674,-0.9674,-0.9669,0.0191,0.9672,-0.9674,-0.9201,0.9674,0.0041,0.3829,0.613,"L","5/10/19 14:20",498,1,0,0,"Girl",0,"Hispanic",0,"10th",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"5/24/19 11:01",378,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,15,16,"Adaptive","Selected",1,"Girl","No WE",4,4,3,5,4,4,4,4,4,3,4,5,4,4,4,4,39,25,2,3,2,2,2,4.16666666666667,3.9,5,4,4,2,6,3,4,3,NA,2,216,9,18,3548,1110,3764,0,0.0573857598299681,0.942614240170032,"3",450,4.16666666666667,"Adaptive",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,39,21,4.19512195121951,82.6909876533333,1,2,4,"Hispanic",3,4,4,3,4,4,1,4,4,11,7,8,5
"S100c1",61,"adaptive","100c1","Glacier View","2019-05-24 10:58:56",-0.4746,-0.6803,-0.1638,-0.2049,-0.7489,-0.9674,-0.9674,-0.9674,-0.0752,0.0015,0.9674,-0.9674,-0.9635,0.9671,0.0066,0.4963,0.4971,"L","5/10/19 14:20",482,1,0,0,"Boy",0,"Black or African American",0,"10th",0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,"5/24/19 11:01",436,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,11,12,"Adaptive","Selected",1,"Boy","WE",5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,47,24,1,1,2,2,2,4,4.7,4,2,3,2,5,2,3,2,0,3,0,8,25,25943,1200,25943,0,0,1,"3",561,3.97872340425532,"Adaptive",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,14,30,3.22018348623853,50.7326759243519,1,2,5,"Black",2,4,3,2,3,4,1,2,2,9,4,6,4
"S101c1",62,"adaptive","101c1","Flying Brooms","2019-05-24 10:59:02",-0.2796,-0.467,-0.1356,-0.2408,-0.283,-0.9674,-0.9674,-0.9674,-0.4013,0.0053,0.6828,-0.9674,-0.0598,0.9674,0.016,0.679,0.305,"M","5/10/19 14:20",462,1,0,0,"Boy",0,"White",0,"10th",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"5/24/19 11:01",334,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,15,14,"Adaptive","Selected",-1,"Boy","No WE",5,5,5,5,5,5,5,5,5,4,1,2,5,5,1,1,49,15,1,1,1,5,5,2.5,4.9,5,3,4,3,5,2,4,3,NA,1,0,10,24,0,1210,4749,1,0,0,"ToolLs preference",520,3.42105263157895,"Adaptive",10,0,0,0,0,0,1,4.74899983406067,0,0,0,0,0,0,0,0,49,49,15,37,3.15740740740741,41.784597933299,1,2,5,"White",2,4,4,3,4,4,2,2,4,10,5,8,6
"S103c1",63,"adaptive","103c1","Laundry Day","2019-05-24 10:58:01",-0.8574,-0.9228,-0.603,-0.8637,-0.9195,-0.9674,-0.9674,-0.9674,-0.9629,0.034,1.4803e-06,-0.9674,-0.9447,0.9666,6e-04,0.1124,0.887,"L","5/10/19 14:20",761,1,0,0,"Girl",0,"White",0,"10th",0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,"5/24/19 11:01",587,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,12,13,"Adaptive","Selected",1,"Girl","No WE",2,2,2,3,2,4,3,2,2,3,4,4,4,3,4,2,25,21,4,4,2,2,4,3.5,2.5,4,3,3,2,5,3,4,1,NA,6,0,5,11,6707,710,67338,0.900397992218361,0,0.0996020077816389,"ToolLs preference",510,4.90384615384615,"Adaptive",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,33,15,5.0989010989011,71.5021348312359,1,1,2,"White",2,4,3,3,3,3,0,3,4,9,6,7,3
"S425c1",64,"adaptive","425c1","Twin Peaks","2019-05-20 09:15:12",-0.8768,-0.9273,-0.6922,-0.8718,-0.9361,-0.9674,-0.9674,-0.9674,-0.502,-0.6084,-8e-04,-0.9674,-0.9666,0.6874,0.0011,0.0915,0.9074,"L","5/13/19 9:13 ",839,1,0,0,"Girl",0,"Black or African American",0,"11th",0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,"5/20/19 9:20 ",591,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,10,9,"Adaptive","Selected",-1,"Girl","WE",3,3,2,1,2,3,4,3,3,1,5,2,3,5,5,5,25,25,3,4,3,1,1,4.16666666666667,2.5,4,1,4,1,3,1,4,1,0.698970004336019,25,68418,3,12,118596,330,225804,0.171786150821066,0.302997289684859,0.525216559494075,NA,143,4.08571428571429,"Adaptive",3,71.5499999580383,5,67.8350001449585,12,34.0100002288818,3,38.789999961853,1,3.18099999427795,1,56.2929999828339,0,0,1,56.293,30,25,18,7,4.14285714285714,224.034857132571,1,1,3,"Black",2,4,1,2,2,4,0,0,4,7,2,8,2
"S107c2",1,"linear","107c2","Timing is Everything","2019-05-22 08:55:03",-0.5016,-0.6922,-0.3687,-0.0655,-0.7515,-0.9674,-0.9674,-0.9659,-0.9642,0.0662,0.9674,-0.4637,-0.9512,0.9674,0.0092,0.463,0.5277,"L","5/10/19 8:52 ",2040,0,1,0,"Boy",0,"Black or African American",0,"10th",0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,"5/22/19 9:01 ",581,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,11,10,"Linear","Selected",-1,"Boy","No WE",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,18,3,3,3,3,3,3,3,4,2,3,2,4,3,2,1,NA,10,0,6,15,23742,600,57202,0.58494458235726,0,0.41505541764274,"ToolLs preference",158,2.16438356164384,"Linear",3,0,0,0,7,23.7419998645782,3,33.4599997997284,0,0,0,0,0,0,0,0,60,38,19,20,2.31506849315068,99.3638507489552,1,1,3,"Black",2,3,3,3,3,3,0,2,2,8,5,5,3
"S108c2",2,"linear","108c2","Roller coaster","2019-05-22 08:34:04",-0.1188,-0.2953,0.5672,0.0145,-0.4327,-0.9674,-0.9674,-0.9674,0.7801,0.9618,0.9674,-0.786,-0.8284,0.9672,0.0604,0.7563,0.1833,"M","5/10/19 8:52 ",2314,0,1,0,"Boy",0,"White",0,"10th",0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,"5/22/19 9:01 ",446,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,10,8,"Linear","Selected",-2,"Boy","No WE",4,2,2,3,3,4,3,4,4,4,3,4,4,5,4,4,33,24,4,4,2,2,2,4,3.3,4,1,3,2,2,1,3,2,NA,9,0,6,16,23140,460,116930,0.802103822799966,0,0.197896177200034,"ToolLs preference",105,2.5609756097561,"Linear",3,0,0,0,5,23.139999628067,4,93.7899997234345,0,0,0,0,0,0,0,0,33,33,20,13,2.5609756097561,87.6067560880488,1,1,4,"White",1,3,2,2,4,2,0,0,4,6,2,6,4
"S110c2",3,"linear","110c2","Wavy","2019-05-20 09:37:55",-0.1481,-0.3391,0.4752,0.0756,-0.5026,-0.9674,-0.9674,-0.9674,0.6844,0.8254,0.9442,-0.5416,-0.962,0.9673,0.0668,0.7134,0.2199,"M","5/10/19 8:52 ",2214,0,1,0,"PNA",0,"Other",0,"10th",1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,"5/22/19 9:10 ",504,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,5,"Linear","Not Selected",-2,"Boy","WE",2,2,1,5,5,5,4,1,1,1,4,4,5,5,2,1,27,21,4,5,1,4,5,3.5,2.7,2,3,1,1,1,1,1,2,0.698970004336019,11,37,10,7,134601,430,142675,0.0563308217977922,0.000259330646574382,0.943409847555633,"3",106,2.94444444444444,"Linear",1,0,6,135.507000011444,1,2.33800005912781,1,8.03699994087219,1,3.24399995803833,1,41.5,1,3.21200013160706,1,41.5,31,31,20,11,2.97222222222222,185.668555569444,1,1,1.5,NA,0,2,1,3,2,2,1,1,0,3,4,2,3
"S111c2",4,"linear","111c2","Lollipop","2019-05-20 09:19:45",-0.6032,-0.7719,-0.4549,-0.2685,-0.8067,-0.9674,-0.9669,-0.9674,-0.9674,0.0011,0.9674,-0.9674,-0.9458,0.9674,0.0037,0.3691,0.6272,"L","5/10/19 9:00 ",1282,0,1,0,"Girl",0,"Black or African American",0,"10th",1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 9:20 ",570,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,14,15,"Linear","Selected",1,"Girl","WE",4,4,2,3,4,5,5,4,4,4,5,5,3,3,3,5,39,24,2,4,3,3,1,4,3.9,5,3,4,2,5,3,4,3,0.778151250383644,11,0,7,18,184464,680,184464,0,0,1,"3",215,2.90540540540541,"Linear",3,0,3,57.7950001564025,5,8.99700021743775,0,0,0,0,0,0,0,0,0,0,52,39,23,18,3.13432835820896,88.6206769272308,1,1,4,"Black",2,4,4,2,3,4,2,4,4,10,6,8,5
"S112c2",5,"linear","112c2","On the Upswing","2019-05-20 09:04:29",-0.931,-0.9589,-0.8551,-0.928,-0.9673,-0.9674,-0.9674,-0.9674,-0.7119,-0.8625,-0.8896,-0.6046,-0.9669,-0.9381,0,0.0376,0.9624,"L","5/13/19 9:13 ",1333,0,1,0,"Boy",0,"White",0,"11th",0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,"5/20/19 9:20 ",877,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,12,13,"Linear","Selected",1,"Boy","WE",5,3,4,3,3,4,4,3,4,5,4,4,3,4,5,1,38,21,3,2,3,1,5,3.5,3.8,4,2,4,2,5,2,4,2,0.602059991327962,5,0,6,21,87995,330,87995,0,0,1,"3",76,2.62068965517241,"Linear",0,0,4,84.7200000286103,1,3.27500009536743,0,0,0,0,0,0,0,0,0,0,25,25,19,7,2.62068965517241,155.099482733448,0,0,4.5,"White",1,4,4,2,3,4,1,2,4,9,4,8,4
"S114c2",6,"linear","114c2","Broken Heart","2019-05-22 08:50:28",-0.5194,-0.7102,-0.2731,-0.2272,-0.7627,-0.9674,-0.9671,-0.9674,-0.3,-0.076,0.9674,-0.9674,-0.9443,0.9674,0.0058,0.4516,0.5427,"L","5/10/19 8:51 ",2162,0,1,0,"Girl",0,"White",0,"10th",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"5/22/19 9:00 ",339,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,15,12,"Linear","Selected",-3,"Girl","WE",2,2,2,2,2,5,4,1,1,1,5,3,3,3,3,3,22,20,4,4,3,3,3,3.33333333333333,2.2,5,4,4,2,4,3,4,1,0.845098040014257,36,2669,4,8,176543,800,224174,0.200567416381918,0.0119059302149223,0.78752665340316,"3",211,3.296875,"Linear",5,1.57500004768372,10,162.505999937058,12,18.4270000457764,4,44.9619998931885,3,4.00499987602234,3,80.6389999389648,3,2.68099999427796,3,2.681,50,48,26,25,3.484375,124.67215873254,1,1,1.5,"White",2,4,3,3,3,4,0,4,4,9,7,8,3
"S115c2",7,"linear","115c2","Broken Heart","2019-05-22 08:55:50",-0.1781,-0.3496,0.5268,-0.0701,-0.5174,-0.9674,-0.9674,-0.9674,0.7724,0.9674,0.9674,-0.9674,-0.9622,0.9672,0.0391,0.7376,0.2232,"M","5/10/19 8:50 ",2515,0,1,0,"Boy",0,"Native Hawaiian/ Pacific Islander",0,"10th",0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,"5/22/19 9:00 ",411,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,9,8,"Linear","Selected",-1,"Boy","WE",1,1,1,4,4,1,1,1,1,1,1,1,1,1,5,5,16,14,5,5,5,1,1,2.33333333333333,1.6,3,1,2,3,2,2,2,2,0.954242509439325,15,0,8,5,217129,600,217129,0,0,1,"3",198,4.21276595744681,"Linear",3,0,9,172.954999633789,6,13.0199999809265,0,0,0,0,0,0,0,0,0,0,39,37,20,20,4.53191489361702,195.770217367174,1,1,1,NA,0,4,1,2,3,3,2,1,1,5,3,4,5
"S117c2",8,"linear","117c2","Green Apple","2019-05-20 09:18:54",-0.5764,-0.748,-0.4318,-0.2558,-0.7689,-0.9674,-0.9673,-0.9674,-0.9438,6e-04,0.9674,-0.9674,-0.8887,0.9674,0.0045,0.3953,0.6003,"L","5/13/19 9:13 ",1330,0,1,0,"Boy",0,"White",0,"11th",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,"5/20/19 9:20 ",865,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,12,12,"Linear","Selected",0,"Boy","WE",5,5,4,4,4,4,4,5,5,5,5,5,4,4,5,4,45,27,1,2,2,1,2,4.5,4.5,5,3,2,2,4,2,2,4,1.11394335230684,25,0,8,24,266349,800,270592,0.0156804340113529,0,0.984319565988647,"3",203,3.171875,"Linear",0,0,9,181.10000038147,11,21.4519999027252,1,4.24300003051758,0,0,0,0,0,0,0,0,60,51,24,27,3.21875,115.612859378438,0,0,5,"White",3,3,3,3,4,4,2,2,0,9,5,4,6
"S120c2",9,"linear","120c2","Cloudy Day","2019-05-20 09:20:00",-0.1781,-0.3479,0.5111,-0.0679,-0.5041,-0.9674,-0.9674,-0.9568,0.7483,0.9288,0.9674,-0.9599,-0.921,0.9632,0.0403,0.7352,0.2244,"M","5/13/19 9:13 ",1382,0,1,0,"Boy",0,"White",0,"11th",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 9:20 ",537,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,15,11,"Linear","Selected",-4,"Boy","WE",4,4,5,4,3,5,4,3,3,3,4,2,4,3,3,4,38,20,2,1,2,3,2,3.33333333333333,3.8,6,3,4,2,6,2,3,0,0.954242509439325,17,0,7,19,212822,450,227919,0.066238444359619,0,0.933761555640381,"3",48,1.33333333333333,"Linear",0,0,8,162.013000011444,6,33.1540005207062,2,15.0969998836517,0,0,0,0,0,0,0,0,29,29,17,13,1.47222222222222,121.10880555,0,0,3.5,"White",4,4,4,1,2,4,0,4,3,12,5,7,2
"S121c2",10,"linear","121c2","Shelves","2019-05-22 08:57:26",-0.2121,-0.3871,0.4102,-0.0869,-0.5087,-0.9674,-0.9674,-0.9673,0.6359,0.7638,0.9674,-0.9674,-0.8579,0.9674,0.0371,0.7065,0.2564,"M","5/10/19 8:52 ",3374,0,1,0,"Boy",0,"Black or African American",0,"10th",1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,"5/22/19 9:03 ",735,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,11,12,"Linear","Selected",1,"Boy","WE",3,2,2,3,4,2,4,1,3,3,4,3,3,4,3,5,27,22,4,4,3,3,1,3.66666666666667,2.7,4,3,2,2,5,3,2,2,0.301029995663981,2,0,7,13,76036,410,76036,0,0,1,"3",91,1.93617021276596,"Linear",0,0,1,32.1900000572205,0,0,0,0,0,0,0,0,0,0,0,0,41,24,17,7,2.19148936170213,105.597928564048,0,0,3,"Black",3,3,3,4,4,2,0,2,2,9,6,4,4
"S122c2",11,"linear","122c2","Spiral","2019-05-20 09:18:54",-0.5021,-0.6981,-0.2207,-0.2186,-0.7626,-0.9674,-0.9674,-0.9674,-0.9611,0.5162,0.9674,-0.9674,-0.967,0.9674,0.0064,0.4681,0.5254,"L","5/13/19 9:13 ",1329,0,1,0,"Boy",0,"White",0,"11th",1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,"5/20/19 9:20 ",471,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,9,11,"Linear","Selected",2,"Boy","WE",4,5,4,4,5,4,4,4,4,5,5,4,5,4,5,5,43,28,1,2,1,1,1,4.66666666666667,4.3,2,3,1,3,4,4,2,1,0.698970004336019,5,0,9,22,70427,1050,70427,0,0,1,"3",211,2.6375,"Linear",0,0,4,54.4629995822907,0,0,0,0,0,0,0,0,0,0,0,0,71,60,17,43,2.7625,77.3756202483544,0,0,4,"White",0,4,2,4,3,2,1,3,1,6,7,3,4
"S124c2",12,"linear","124c2","Tetherball","2019-05-20 09:19:53",-0.4006,-0.6191,-0.016,-0.1691,-0.6965,-0.9674,-0.967,-0.9674,-0.9656,0.9534,0.9674,-0.9674,-0.9384,0.9673,0.0095,0.5669,0.4236,"M","5/13/19 9:24 ",1035,0,1,0,"Boy",0,"Black or African American",0,"11th",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"5/20/19 9:20 ",448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,18,"Linear","Selected",1,"Boy","WE",5,4,4,4,4,5,4,5,5,5,4,5,3,3,3,3,45,21,2,2,3,3,3,3.5,4.5,5,4,4,4,6,4,4,4,0.602059991327962,6,0,8,23,81292,750,81292,0,0,1,"3",175,3.01724137931034,"Linear",2,0,4,74.7260003089905,2,6.56599998474121,0,0,0,0,0,0,0,0,0,0,55,53,35,19,3.01724137931034,164.57022806614,1,1,5,"Black",3,4,4,4,4,4,4,4,4,11,8,8,8
"S126c2",13,"linear","126c2","Spiral","2019-05-22 10:54:31",-0.5873,-0.7575,-0.4446,-0.261,-0.7821,-0.9674,-0.9674,-0.9674,-0.9674,0,0.9674,-0.9674,-0.9066,0.9674,0.0041,0.3846,0.6112,"L","5/10/19 9:53 ",1633,0,1,0,"Girl",0,"White",0,"10th",0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,"5/22/19 10:55",476,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,11,12,"Linear","Selected",1,"Girl","WE",5,3,4,4,4,4,4,4,4,3,4,3,3,3,3,2,39,18,3,2,3,3,4,3,3.9,3,3,3,2,4,3,3,2,0.301029995663981,12,0,8,19,76433,1140,105169,0.273236409968717,0,0.726763590031283,"3",470,5.16483516483517,"Linear",15,0,2,41.4570000171661,9,34.9760000705719,1,28.7360000610352,0,0,0,0,0,0,0,0,73,64,19,45,5.17582417582418,133.520944439778,1,2,4.5,"White",0,4,3,3,4,4,0,3,2,7,6,6,4
"S127c2",14,"linear","127c2","Yippie!","2019-05-22 10:53:16",-0.4822,-0.6412,-0.1832,-0.1881,-0.7218,-0.9674,-0.9674,-0.9646,-0.0086,-0.0503,0.9662,-0.8878,-0.9643,0.9656,0.0191,0.4633,0.5176,"L","5/10/19 9:52 ",1699,0,1,0,"Girl",0,"Black or African American",0,"9th",1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,"5/22/19 10:55",443,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,7,"Linear","Selected",-4,"Girl","No WE",4,2,3,3,3,4,4,4,4,4,4,3,3,3,2,4,35,19,4,3,3,4,2,3.16666666666667,3.5,2,3,4,2,4,1,1,1,NA,6,0,6,17,29513,410,33014,0.106045919912764,0,0.893954080087236,"3",73,1.69767441860465,"Linear",0,0,0,0,5,29.5130000114441,1,3.50099992752075,0,0,1,5.20799994468689,0,0,0,0,30,25,15,10,1.69767441860465,167.476707319512,0,0,4,"Black",1,3,2,3,3,2,0,1,3,6,4,5,3
"S128c2",15,"linear","128c2","Not too Far","2019-05-20 10:16:33",-0.5957,-0.7678,-0.4256,-0.2646,-0.8111,-0.9674,-0.9674,-0.9674,-0.9674,0.0768,0.9674,-0.9674,-0.9659,0.9674,0.0038,0.3766,0.6196,"L","5/10/19 10:10",828,0,1,0,"Boy",0,"Black or African American",0,"9th",0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,"5/20/19 10:20",970,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,14,16,"Linear","Selected",2,"Boy","No WE",5,5,5,5,5,5,4,5,5,5,3,3,3,3,3,1,49,16,1,1,3,3,5,2.66666666666667,4.9,4,3,4,3,6,4,4,2,NA,1,2587,10,25,0,920,2587,0,1,0,"PhysicLS preference",156,1.90243902439024,"Linear",11,2.58699989318848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,40,25,1.90243902439024,106.770341763291,1,2,5,"Black",3,3,4,3,3,4,2,4,4,10,7,8,5
