"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"52","linear","177c2","Breakfast time",2019-05-20 13:30:07,-0.8497,-0.932,-0.9268,-0.4984,-0.929,-0.9674,-0.9622,-0.9674,-0.9674,-0.9667,0.7461,-0.9674,-0.9665,0.9672,4e-04,0.121,0.8787
"53","linear","178c2","Cosmic Cave",2019-05-17 13:57:49,-0.7887,-0.8898,-0.8537,-0.3579,-0.8977,-0.9674,-0.9371,-0.9674,-0.8555,-0.9088,0.9674,-0.9674,-0.9564,0.9674,0.001,0.1827,0.8163
"54","linear","181c2","Fireworks",2019-05-20 13:30:27,-0.6034,-0.771,-0.4633,-0.2687,-0.8011,-0.9674,-0.9674,-0.9674,-0.9633,-0.0267,0.9674,-0.9674,-0.9324,0.9674,0.0037,0.3688,0.6275
"55","linear","184c2","Not too Far",2019-05-20 13:28:27,-0.5811,-0.7274,-0.4303,-0.2391,-0.7855,-0.9674,-0.9023,-0.9673,-0.7606,-0.1318,0.9674,-0.9243,-0.9469,0.9498,0.0047,0.3899,0.6054
"56","linear","187c2","Wavy",2019-05-16 13:57:20,-0.8496,-0.9112,-0.7905,-0.724,-0.9171,-0.9674,-0.961,-0.9674,-0.6581,-0.8141,0.0435,-0.7196,-0.9664,0.9653,0.0025,0.1168,0.8807
"57","linear","189c2","Timing is Everything",2019-05-20 13:32:29,-0.5445,-0.7316,-0.2691,-0.2368,-0.8182,-0.9674,-0.9505,-0.9674,-0.36,0.007,0.9673,-0.9669,-0.9654,0.6946,0.0045,0.4281,0.5674
"58","linear","194c2","Mobile",2019-05-24 11:02:06,-0.4561,-0.6191,-0.1496,-0.1877,-0.7201,-0.9674,-0.8579,-0.9674,-0.0763,-0.0099,0.9663,-0.9674,-0.9663,0.9672,0.0072,0.5142,0.4786
"59","linear","196c2","Fireworks",2019-05-24 10:59:52,-0.6736,-0.8201,-0.6124,-0.3037,-0.8371,-0.9674,-0.9674,-0.9674,-0.9673,-0.3323,0.9673,-0.9674,-0.9357,0.9674,0.0027,0.2983,0.699
"60","linear","198c2","Spider Web",2019-05-24 10:55:37,-0.6742,-0.7913,-0.6358,-0.2904,-0.8274,-0.9674,-0.954,-0.9674,-0.5293,-0.6951,0.5613,-0.3978,-0.9654,0.9673,0.0158,0.2714,0.7128
"61","linear","200c2","Laundry Day",2019-05-20 14:24:13,-0.3852,-0.5567,-0.0702,-0.1567,-0.6211,-0.9674,-0.8693,-0.9674,0.0511,0.0416,0.9671,-0.9674,-0.8232,0.9674,0.0113,0.5792,0.4095
"62","linear","201c2","Angels",2019-05-24 10:55:04,-0.558,-0.7349,-0.3709,-0.2475,-0.7706,-0.9674,-0.9674,-0.9674,-0.0047,-0.4632,0.9657,-0.9674,-0.9184,0.9674,0.0053,0.4126,0.5821
"63","linear","202c2","Cosmic Cave",2019-05-20 14:23:05,-0.3664,-0.5361,0.0456,-0.1479,-0.648,-0.9674,-0.8614,-0.9674,-0.0654,0.507,0.9674,-0.9672,-0.9352,0.9674,0.0152,0.5908,0.394
"64","linear","203c2","Not too Far",2019-05-24 10:59:47,-0.5779,-0.7551,-0.3877,-0.2558,-0.8018,-0.9674,-0.9674,-0.9674,-0.7493,0.0027,0.9674,-0.9674,-0.9649,0.9674,0.0042,0.3942,0.6016
"65","linear","204c2","Wavy",2019-05-17 14:35:43,-0.5414,-0.7017,-0.5196,0.0446,-0.762,-0.9674,-0.9504,-0.9674,-0.4326,-0.6059,0.9649,-0.1495,-0.9651,0.9497,0.0257,0.389,0.5853
"66","linear","205c2","Cosmic Cave",2019-05-24 10:56:16,-0.8365,-0.9253,-0.9229,-0.4399,-0.9237,-0.9674,-0.956,-0.9674,-0.9674,-0.9655,0.8514,-0.9674,-0.9644,0.967,4e-04,0.1344,0.8651
"67","linear","207c2","Angels",2019-05-24 11:01:12,-0.3914,-0.6083,-0.0154,-0.165,-0.6766,-0.9669,-0.9674,-0.9674,-0.9655,0.9454,0.9674,-0.9674,-0.9052,0.9674,0.0102,0.5751,0.4147
"68","linear","209c2","Spider Web",2019-05-17 14:44:43,-0.6805,-0.7966,-0.6422,-0.2976,-0.8342,-0.9674,-0.9543,-0.9674,-0.5347,-0.7002,0.5568,-0.4035,-0.9655,0.9361,0.015,0.2665,0.7185
