6/9/06																																																																
<DEMOGRAPHICS>																																																																
Config		control TRUE	FALSE	adaptiveAcc	adaptiveFull	linearFull	control																																																									
</DEMOGRAPHICS>																																																																
		commonRatio	commonRatio	commonRatio	commonRatio	commonRatio	commonRatio	examples	examples	examples	examples	examples	examples	explicit	explicit	explicit	explicit	explicit	explicit	extend	extend	extend	extend	extend	extend	distinguish	distinguish	distinguish	distinguish	distinguish	distinguish	model	model	model	model	model	model	recursive	recursive	recursive	recursive	recursive	recursive	table	table	table	table	table	table	verbal	verbal	verbal	verbal	verbal	verbal	visual	visual	visual	visual	visual	visual	visual	visual	visual
NAME	Config	CR1a	CR1b	CR2a	CR2b	CR3a	CR3b	Examp1a	Examp1b	Examp2a	Examp2b	Examp3a	Examp3b	Expl1a	Expl1b	Expl2a	Expl2b	Expl3a	Expl3b	Ext1a	Ext1b	Ext2a	Ext2b	Ext3a	Ext3b	Dist1a	Dist1b	Dist2a	Dist2b	Dist3a	Dist3b	MExtT1a	MExtT1b	MExtT2a	MExtT2b	MExtT3a	MExtT3b	RR1a	RR1b	RR2a	RR2b	RR3a	RR3b	TExt1a	TExt1b	TExt2a	TExt2b	TExt3a	TExt3b	VRExpl2a	VRExpl3a	VRExt1a	VRExt1b	VRExt2a	VRM3a	VExplVRM3a	VExplVRM3b	VExt1a	VExt1b	VExt1c	VExt2a	VExt3a	VETMVR2a	VEVRM2a
S165	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
S166	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S169	adaptiveAcc	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	.	1	.	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
S164	adaptiveFull	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	.	1	.	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1
S157	adaptiveAcc	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	.	1	.	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
S163	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	1	.	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
S170	adaptiveFull	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	.	1	.	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
S167	adaptiveFull	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0
S161	adaptiveFull	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	.	0	.	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
S168	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	.	0	.	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
S158	adaptiveFull	1	1	1	1	0	.	0	0	0	0	0	0	1	1	0	0	1	1	1	.	1	.	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1
S171	linearFull	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	.	1	.	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S162	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	.	0	.	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
S179	linearFull	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	.	1	.	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	.
S182	linearFull	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	.	0	.	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0
S183	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	.	0	.	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
S187	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
S184	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	.	0	.	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
S178	adaptiveFull	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	.	0	.	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1
S186	adaptiveAcc	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	.	0	.	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
S181	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	.	0	.	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S177	adaptiveAcc	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
S188	linearFull	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	.	1	.	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
S180	adaptiveAcc	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	.	0	.	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
S189	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	.	.	0	0	0	1	0	.	0	.	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1
S201	adaptiveFull	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	.	1	.	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S198	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	.	0	.	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
S197	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1
S194	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	.	0	.	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
S195	adaptiveFull	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	.	0	.	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
S202	linearFull	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	.	1	.	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S199	linearFull	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	.	0	.	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S204	adaptiveFull	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	.	1	.	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
S203	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	.	1	.	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
S200	adaptiveAcc	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	.	0	.	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
S196	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	.	1	.	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
S208	adaptiveAcc	.	.	.	.	.	.	.	.	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	0	0	1	1	1	.	1	1	1	0	.	.	.	.	.	.	.	.	.	.	1	.	1	0	0	1	0	1	0	0	0	.	.	0	0	0	1
S209	adaptiveFull	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	.	0	.	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1
S216	linearFull	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1
S214	adaptiveAcc	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	.	0	.	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1
S218	adaptiveFull	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	.	0	.	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
S217	adaptiveAcc	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	.	0	.	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
S223	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	.	1	.	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
S212	adaptiveFull	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	.	0	.	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1
S210	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	.	1	.	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0
S220	adaptiveAcc	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	.	0	.	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0
S222	linearFull	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	1	.	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	.	0	1	0	0	0	0	0	0	0	1	0	0	0	0	.	0	0
S211	adaptiveAcc	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	.	0	.	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
S221	adaptiveFull	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	.	1	.	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1
S215	adaptiveFull	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	.	1	.	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1
S219	linearFull	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
S213	linearFull	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	.	0	.	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
