SID,Cond_code,Level_Code,pre_scaled,post_scaled,BNscore
S262,"Adaptive, Full Feedback",Academic,51,56,-0.911
S263,"Linear, Full Feedback",Academic,58,54,-0.488
S269,"Adaptive, Accuracy Only",English Language Learners,36,39,-0.663
S270,"Adaptive, Full Feedback",English Language Learners,27,39,-0.832
S271,"Linear, Full Feedback",English Language Learners,33,36,-0.976
S272,"Adaptive, Accuracy Only",English Language Learners,30,44,-0.988
S273,"Adaptive, Full Feedback",English Language Learners,33,39,-1
S274,"Linear, Full Feedback",English Language Learners,36,39,-1
S275,"Adaptive, Accuracy Only",English Language Learners,27,33,-1
S276,"Adaptive, Full Feedback",English Language Learners,36,41,-1
S277,"Linear, Full Feedback",English Language Learners,39,51,-1
S278,"Adaptive, Accuracy Only",English Language Learners,48,44,-1
S279,"Adaptive, Full Feedback",English Language Learners,27,42,-0.999
S280,"Linear, Full Feedback",English Language Learners,30,47,-0.999
S281,"Adaptive, Accuracy Only",English Language Learners,33,42,-0.996
S282,"Adaptive, Full Feedback",English Language Learners,33,39,-0.946
S283,"Linear, Full Feedback",English Language Learners,41,48,-1
S284,"Adaptive, Accuracy Only",English Language Learners,36,39,-1
S285,"Adaptive, Full Feedback",English Language Learners,50,45,-1
S291,"Adaptive, Accuracy Only",Special Ed (Part 2),47,33,-1
S292,"Adaptive, Full Feedback",Special Ed (Part 2),39,47,-1
S293,"Linear, Full Feedback",Regular,41,39,-0.999
S294,"Adaptive, Accuracy Only",Regular,57,50,-0.988
S295,"Adaptive, Full Feedback",Regular,41,51,-0.993
S296,"Linear, Full Feedback",Regular,48,39,-0.897
S297,"Adaptive, Accuracy Only",Regular,44,51,-0.996
S298,"Adaptive, Full Feedback",Regular,48,50,-0.00299999999999989
S299,"Linear, Full Feedback",Regular,47,33,-0.988
S300,"Adaptive, Accuracy Only",Regular,54,41,-1
S301,"Adaptive, Full Feedback",Regular,53,48,-0.995
S302,"Linear, Full Feedback",Regular,45,50,-0.183
S303,"Adaptive, Accuracy Only",Regular,44,57,-0.985
S304,"Adaptive, Full Feedback",Regular,39,58,-0.148
S305,"Linear, Full Feedback",Regular,53,60,0.962
S306,"Adaptive, Accuracy Only",Regular,54,53,-0.869
S307,"Adaptive, Full Feedback",Special Ed (Part 2),44,57,-1
S308,"Linear, Full Feedback",Special Ed (Part 2),42,36,-1
S315,"Adaptive, Accuracy Only",Special Ed (Part 2),53,36,-0.995
S316,"Adaptive, Full Feedback",Regular,45,61,0.045
S317,"Linear, Full Feedback",Regular,47,60,-0.986
S318,"Adaptive, Accuracy Only",Regular,45,53,-0.998
S319,"Adaptive, Full Feedback",Regular,44,45,-0.999
S320,"Linear, Full Feedback",Regular,51,56,-0.743
S323,"Adaptive, Accuracy Only",Academic,53,69,0.966
S324,"Adaptive, Full Feedback",Academic,48,50,-0.999
S325,"Linear, Full Feedback",Academic,56,72,0.992
S326,"Adaptive, Accuracy Only",Academic,57,67,-0.224
S327,"Adaptive, Full Feedback",Academic,36,48,-1
S328,"Linear, Full Feedback",Academic,60,50,0.11
S329,"Adaptive, Accuracy Only",Academic,47,33,-0.993
S330,"Adaptive, Full Feedback",Academic,54,61,-0.75
S331,"Linear, Full Feedback",Academic,53,42,-0.999
S332,"Adaptive, Accuracy Only",Academic,54,67,-0.316
S333,"Adaptive, Full Feedback",Academic,67,75,0.459
S334,"Linear, Full Feedback",Academic,45,64,-0.952
S335,"Adaptive, Accuracy Only",Academic,61,66,0.369
S336,"Adaptive, Full Feedback",Special Ed (Part 2),39,47,-1
S337,"Linear, Full Feedback",Special Ed (Part 2),44,51,-1
S338,"Adaptive, Accuracy Only",Academic,51,58,-0.978
S069,Control,Academic,50,63,NA
S070,Control,Academic,42,56,NA
S071,Control,Academic,64,60,NA
S072,Control,Academic,51,61,NA
S073,Control,Academic,42,56,NA
S092,Control,Academic,51,61,NA
S093,Control,Academic,53,48,NA
S094,Control,Academic,50,51,NA
S095,Control,Academic,47,60,NA
S096,Control,Academic,67,72,NA
S115,Control,Academic,69,58,NA
S116,Control,Academic,54,56,NA
S117,Control,Academic,45,56,NA
S118,Control,Academic,50,51,NA
S137,Control,Honors,67,78,NA
S138,Control,Honors,51,53,NA
S139,Control,Honors,61,72,NA
S172,Control,Academic,64,42,NA
S173,Control,Academic,42,41,NA
S174,Control,Academic,50,51,NA
S175,Control,Academic,50,48,NA
S176,Control,Academic,54,41,NA
S190,Control,Special Ed (Part 1),44,45,NA
S191,Control,Special Ed (Part 1),54,44,NA
S192,Control,Special Ed (Part 1),44,36,NA
S193,Control,Special Ed (Part 1),54,61,NA
S205,Control,Special Ed (Part 1),56,45,NA
S206,Control,Special Ed (Part 1),51,53,NA
S207,Control,Special Ed (Part 1),61,45,NA
S224,Control,Academic,47,54,NA
S225,Control,Academic,36,56,NA
S226,Control,Academic,64,66,NA
S227,Control,Academic,42,53,NA
S244,Control,Academic,70,57,NA
S245,Control,Academic,72,78,NA
S246,Control,Academic,41,45,NA
S247,Control,Academic,45,41,NA
S248,Control,Academic,47,48,NA
S264,Control,Academic,58,54,NA
S265,Control,Academic,54,61,NA
S266,Control,Academic,50,51,NA
S267,Control,Academic,63,76,NA
S268,Control,Academic,58,72,NA
S286,Control,English Language Learners,27,27,NA
S287,Control,English Language Learners,30,36,NA
S288,Control,English Language Learners,27,45,NA
S289,Control,English Language Learners,33,50,NA
S290,Control,English Language Learners,33,39,NA
S309,Control,Regular,41,36,NA
S310,Control,Regular,45,36,NA
S311,Control,Regular,41,33,NA
S312,Control,Regular,36,47,NA
S313,Control,Regular,44,36,NA
S314,Control,Regular,41,51,NA
S321,Control,Regular,33,33,NA
S322,Control,Regular,42,50,NA
S339,Control,Special Ed (Part 2),27,27,NA
S340,Control,Academic,48,58,NA
S341,Control,Academic,53,57,NA
S342,Control,Academic,48,44,NA
